total_bill,tip,sex,smoker,day,time,size,gbp_total,gbp_tips,yen_total,yen_tips,aus_total,aus_tips
16.99,1.01,Female,No,Sun,Dinner,2,13.761899999999999,0.8181,1800.9399999999998,107.06,10.8736,0.6464
10.34,1.66,Male,No,Sun,Dinner,3,8.3754,1.3446,1096.04,175.95999999999998,6.6176,1.0624
21.01,3.5,Male,No,Sun,Dinner,3,17.018100000000004,2.835,2227.06,371,13.4464,2.24
23.68,3.31,Male,No,Sun,Dinner,2,19.1808,2.6811000000000003,2510.08,350.86,15.1552,2.1184000000000003
24.59,3.61,Female,No,Sun,Dinner,4,19.9179,2.9241,2606.54,382.65999999999997,15.7376,2.3104
25.29,4.71,Male,No,Sun,Dinner,4,20.4849,3.8151,2680.74,499.26,16.1856,3.0144
8.77,2,Male,No,Sun,Dinner,2,7.1037,1.62,929.62,212,5.6128,1.28
26.88,3.12,Male,No,Sun,Dinner,4,21.7728,2.5272,2849.2799999999997,330.72,17.2032,1.9968000000000001
15.04,1.96,Male,No,Sun,Dinner,2,12.1824,1.5876000000000001,1594.24,207.76,9.6256,1.2544
14.78,3.23,Male,No,Sun,Dinner,2,11.9718,2.6163000000000003,1566.6799999999998,342.38,9.4592,2.0672
10.27,1.71,Male,No,Sun,Dinner,2,8.3187,1.3851,1088.62,181.26,6.5728,1.0944
35.26,5,Female,No,Sun,Dinner,4,28.5606,4.050000000000001,3737.56,530,22.566399999999998,3.2
15.42,1.57,Male,No,Sun,Dinner,2,12.490200000000002,1.2717,1634.52,166.42000000000002,9.8688,1.0048000000000001
18.43,3,Male,No,Sun,Dinner,4,14.9283,2.43,1953.58,318,11.7952,1.92
14.83,3.02,Female,No,Sun,Dinner,2,12.012300000000002,2.4462,1571.98,320.12,9.491200000000001,1.9328
21.58,3.92,Male,No,Sun,Dinner,2,17.4798,3.1752000000000002,2287.48,415.52,13.8112,2.5088
10.33,1.67,Female,No,Sun,Dinner,3,8.3673,1.3527,1094.98,177.01999999999998,6.6112,1.0688
16.29,3.71,Male,No,Sun,Dinner,3,13.1949,3.0051,1726.74,393.26,10.4256,2.3744
16.97,3.5,Female,No,Sun,Dinner,3,13.7457,2.835,1798.82,371,10.8608,2.24
20.65,3.35,Male,No,Sat,Dinner,3,16.7265,2.7135000000000002,2188.8999999999996,355.1,13.216,2.144
17.92,4.08,Male,No,Sat,Dinner,2,14.515200000000002,3.3048,1899.5200000000002,432.48,11.468800000000002,2.6112
20.29,2.75,Female,No,Sat,Dinner,2,16.4349,2.2275,2150.74,291.5,12.9856,1.76
15.77,2.23,Female,No,Sat,Dinner,2,12.7737,1.8063,1671.62,236.38,10.0928,1.4272
39.42,7.58,Male,No,Sat,Dinner,4,31.930200000000003,6.1398,4178.52,803.48,25.228800000000003,4.8512
19.82,3.18,Male,No,Sat,Dinner,2,16.0542,2.5758,2100.92,337.08000000000004,12.684800000000001,2.0352
17.81,2.34,Male,No,Sat,Dinner,4,14.4261,1.8954,1887.86,248.04,11.398399999999999,1.4976
13.37,2,Male,No,Sat,Dinner,2,10.8297,1.62,1417.22,212,8.556799999999999,1.28
12.69,2,Male,No,Sat,Dinner,2,10.2789,1.62,1345.1399999999999,212,8.121599999999999,1.28
21.7,4.3,Male,No,Sat,Dinner,2,17.577,3.483,2300.2,455.79999999999995,13.888,2.752
19.65,3,Female,No,Sat,Dinner,2,15.9165,2.43,2082.8999999999996,318,12.575999999999999,1.92
9.55,1.45,Male,No,Sat,Dinner,2,7.735500000000001,1.1745,1012.3000000000001,153.7,6.112000000000001,0.9279999999999999
18.35,2.5,Male,No,Sat,Dinner,4,14.863500000000002,2.0250000000000004,1945.1000000000001,265,11.744000000000002,1.6
15.06,3,Female,No,Sat,Dinner,2,12.1986,2.43,1596.3600000000001,318,9.6384,1.92
20.69,2.45,Female,No,Sat,Dinner,4,16.7589,1.9845000000000004,2193.1400000000003,259.70000000000005,13.241600000000002,1.568
17.78,3.27,Male,No,Sat,Dinner,2,14.401800000000001,2.6487000000000003,1884.68,346.62,11.3792,2.0928
24.06,3.6,Male,No,Sat,Dinner,3,19.4886,2.9160000000000004,2550.3599999999997,381.6,15.398399999999999,2.3040000000000003
16.31,2,Male,No,Sat,Dinner,3,13.2111,1.62,1728.86,212,10.4384,1.28
16.93,3.07,Female,No,Sat,Dinner,3,13.7133,2.4867,1794.58,325.41999999999996,10.8352,1.9647999999999999
18.69,2.31,Male,No,Sat,Dinner,3,15.138900000000001,1.8711000000000002,1981.14,244.86,11.9616,1.4784000000000002
31.27,5,Male,No,Sat,Dinner,3,25.3287,4.050000000000001,3314.62,530,20.0128,3.2
16.04,2.24,Male,No,Sat,Dinner,3,12.9924,1.8144000000000002,1700.24,237.44000000000003,10.2656,1.4336000000000002
17.46,2.54,Male,No,Sun,Dinner,2,14.142600000000002,2.0574000000000003,1850.76,269.24,11.1744,1.6256000000000002
13.94,3.06,Male,No,Sun,Dinner,2,11.291400000000001,2.4786,1477.6399999999999,324.36,8.9216,1.9584000000000001
9.68,1.32,Male,No,Sun,Dinner,2,7.840800000000001,1.0692000000000002,1026.08,139.92000000000002,6.1952,0.8448000000000001
30.4,5.6,Male,No,Sun,Dinner,4,24.624,4.536,3222.3999999999996,593.5999999999999,19.456,3.5839999999999996
18.29,3,Male,No,Sun,Dinner,2,14.8149,2.43,1938.74,318,11.7056,1.92
22.23,5,Male,No,Sun,Dinner,2,18.006300000000003,4.050000000000001,2356.38,530,14.2272,3.2
32.4,6,Male,No,Sun,Dinner,4,26.244,4.86,3434.3999999999996,636,20.736,3.84
28.55,2.05,Male,No,Sun,Dinner,3,23.125500000000002,1.6604999999999999,3026.3,217.29999999999998,18.272000000000002,1.3119999999999998
18.04,3,Male,No,Sun,Dinner,2,14.612400000000001,2.43,1912.24,318,11.5456,1.92
12.54,2.5,Male,No,Sun,Dinner,2,10.157399999999999,2.0250000000000004,1329.24,265,8.025599999999999,1.6
10.29,2.6,Female,No,Sun,Dinner,2,8.3349,2.1060000000000003,1090.74,275.6,6.5855999999999995,1.6640000000000001
34.81,5.2,Female,No,Sun,Dinner,4,28.196100000000005,4.212000000000001,3689.86,551.2,22.2784,3.3280000000000003
9.94,1.56,Male,No,Sun,Dinner,2,8.051400000000001,1.2636,1053.6399999999999,165.36,6.3616,0.9984000000000001
25.56,4.34,Male,No,Sun,Dinner,4,20.7036,3.5154,2709.3599999999997,460.03999999999996,16.3584,2.7776
19.49,3.51,Male,No,Sun,Dinner,2,15.7869,2.8431,2065.94,372.06,12.4736,2.2464
38.01,3,Male,Yes,Sat,Dinner,4,30.7881,2.43,4029.06,318,24.3264,1.92
26.41,1.5,Female,No,Sat,Dinner,2,21.392100000000003,1.215,2799.46,159,16.9024,0.96
11.24,1.76,Male,Yes,Sat,Dinner,2,9.1044,1.4256000000000002,1191.44,186.56,7.1936,1.1264
48.27,6.73,Male,No,Sat,Dinner,4,39.09870000000001,5.451300000000001,5116.62,713.38,30.8928,4.307200000000001
20.29,3.21,Male,Yes,Sat,Dinner,2,16.4349,2.6001000000000003,2150.74,340.26,12.9856,2.0544000000000002
13.81,2,Male,Yes,Sat,Dinner,2,11.186100000000001,1.62,1463.8600000000001,212,8.8384,1.28
11.02,1.98,Male,Yes,Sat,Dinner,2,8.9262,1.6038000000000001,1168.12,209.88,7.0527999999999995,1.2672
18.29,3.76,Male,Yes,Sat,Dinner,4,14.8149,3.0456,1938.74,398.56,11.7056,2.4064
17.59,2.64,Male,No,Sat,Dinner,3,14.247900000000001,2.1384000000000003,1864.54,279.84000000000003,11.2576,1.6896000000000002
20.08,3.15,Male,No,Sat,Dinner,3,16.2648,2.5515,2128.48,333.9,12.851199999999999,2.016
16.45,2.47,Female,No,Sat,Dinner,2,13.3245,2.0007,1743.6999999999998,261.82,10.528,1.5808000000000002
3.07,1,Female,Yes,Sat,Dinner,1,2.4867,0.81,325.41999999999996,106,1.9647999999999999,0.64
20.23,2.01,Male,No,Sat,Dinner,2,16.386300000000002,1.6280999999999999,2144.38,213.05999999999997,12.9472,1.2864
15.01,2.09,Male,Yes,Sat,Dinner,2,12.158100000000001,1.6929,1591.06,221.54,9.6064,1.3376
12.02,1.97,Male,No,Sat,Dinner,2,9.7362,1.5957000000000001,1274.12,208.82,7.6928,1.2608
17.07,3,Female,No,Sat,Dinner,3,13.8267,2.43,1809.42,318,10.924800000000001,1.92
26.86,3.14,Female,Yes,Sat,Dinner,2,21.756600000000002,2.5434,2847.16,332.84000000000003,17.1904,2.0096000000000003
25.28,5,Female,Yes,Sat,Dinner,2,20.4768,4.050000000000001,2679.6800000000003,530,16.1792,3.2
14.73,2.2,Female,No,Sat,Dinner,2,11.931300000000002,1.7820000000000003,1561.38,233.20000000000002,9.427200000000001,1.4080000000000001
10.51,1.25,Male,No,Sat,Dinner,2,8.5131,1.0125000000000002,1114.06,132.5,6.7264,0.8
17.92,3.08,Male,Yes,Sat,Dinner,2,14.515200000000002,2.4948,1899.5200000000002,326.48,11.468800000000002,1.9712
27.2,4,Male,No,Thur,Lunch,4,22.032,3.24,2883.2,424,17.408,2.56
22.76,3,Male,No,Thur,Lunch,2,18.4356,2.43,2412.56,318,14.566400000000002,1.92
17.29,2.71,Male,No,Thur,Lunch,2,14.004900000000001,2.1951,1832.74,287.26,11.0656,1.7344
19.44,3,Male,Yes,Thur,Lunch,2,15.746400000000001,2.43,2060.6400000000003,318,12.441600000000001,1.92
16.66,3.4,Male,No,Thur,Lunch,2,13.4946,2.754,1765.96,360.4,10.6624,2.176
10.07,1.83,Female,No,Thur,Lunch,1,8.1567,1.4823000000000002,1067.42,193.98000000000002,6.444800000000001,1.1712
32.68,5,Male,Yes,Thur,Lunch,2,26.4708,4.050000000000001,3464.08,530,20.9152,3.2
15.98,2.03,Male,No,Thur,Lunch,2,12.943800000000001,1.6442999999999999,1693.88,215.17999999999998,10.2272,1.2992
34.83,5.17,Female,No,Thur,Lunch,4,28.2123,4.1877,3691.98,548.02,22.2912,3.3088
13.03,2,Male,No,Thur,Lunch,2,10.5543,1.62,1381.1799999999998,212,8.3392,1.28
18.28,4,Male,No,Thur,Lunch,2,14.806800000000003,3.24,1937.68,424,11.699200000000001,2.56
24.71,5.85,Male,No,Thur,Lunch,2,20.0151,4.7385,2619.26,620.0999999999999,15.814400000000001,3.7439999999999998
21.16,3,Male,No,Thur,Lunch,2,17.1396,2.43,2242.96,318,13.5424,1.92
28.97,3,Male,Yes,Fri,Dinner,2,23.465700000000002,2.43,3070.8199999999997,318,18.5408,1.92
22.49,3.5,Male,No,Fri,Dinner,2,18.2169,2.835,2383.94,371,14.3936,2.24
5.75,1,Female,Yes,Fri,Dinner,2,4.657500000000001,0.81,609.5,106,3.68,0.64
16.32,4.3,Female,Yes,Fri,Dinner,2,13.2192,3.483,1729.92,455.79999999999995,10.4448,2.752
22.75,3.25,Female,No,Fri,Dinner,2,18.427500000000002,2.6325000000000003,2411.5,344.5,14.56,2.08
40.17,4.73,Male,Yes,Fri,Dinner,4,32.5377,3.8313000000000006,4258.02,501.38000000000005,25.7088,3.0272000000000006
27.28,4,Male,Yes,Fri,Dinner,2,22.096800000000002,3.24,2891.6800000000003,424,17.459200000000003,2.56
12.03,1.5,Male,Yes,Fri,Dinner,2,9.7443,1.215,1275.1799999999998,159,7.699199999999999,0.96
21.01,3,Male,Yes,Fri,Dinner,2,17.018100000000004,2.43,2227.06,318,13.4464,1.92
12.46,1.5,Male,No,Fri,Dinner,2,10.092600000000001,1.215,1320.76,159,7.974400000000001,0.96
11.35,2.5,Female,Yes,Fri,Dinner,2,9.1935,2.0250000000000004,1203.1,265,7.264,1.6
15.38,3,Female,Yes,Fri,Dinner,2,12.4578,2.43,1630.28,318,9.843200000000001,1.92
44.3,2.5,Female,Yes,Sat,Dinner,3,35.883,2.0250000000000004,4695.799999999999,265,28.352,1.6
22.42,3.48,Female,Yes,Sat,Dinner,2,18.160200000000003,2.8188,2376.52,368.88,14.3488,2.2272
20.92,4.08,Female,No,Sat,Dinner,2,16.945200000000003,3.3048,2217.52,432.48,13.388800000000002,2.6112
15.36,1.64,Male,Yes,Sat,Dinner,2,12.441600000000001,1.3284,1628.1599999999999,173.84,9.8304,1.0495999999999999
20.49,4.06,Male,Yes,Sat,Dinner,2,16.5969,3.2885999999999997,2171.94,430.35999999999996,13.1136,2.5984
25.21,4.29,Male,Yes,Sat,Dinner,2,20.4201,3.4749000000000003,2672.26,454.74,16.1344,2.7456
18.24,3.76,Male,No,Sat,Dinner,2,14.7744,3.0456,1933.4399999999998,398.56,11.673599999999999,2.4064
14.31,4,Female,Yes,Sat,Dinner,2,11.5911,3.24,1516.8600000000001,424,9.1584,2.56
14,3,Male,No,Sat,Dinner,2,11.34,2.43,1484,318,8.96,1.92
7.25,1,Female,No,Sat,Dinner,1,5.8725000000000005,0.81,768.5,106,4.64,0.64
38.07,4,Male,No,Sun,Dinner,3,30.836700000000004,3.24,4035.42,424,24.364800000000002,2.56
23.95,2.55,Male,No,Sun,Dinner,2,19.3995,2.0655,2538.7,270.29999999999995,15.328,1.632
25.71,4,Female,No,Sun,Dinner,3,20.825100000000003,3.24,2725.26,424,16.4544,2.56
17.31,3.5,Female,No,Sun,Dinner,2,14.0211,2.835,1834.86,371,11.0784,2.24
29.93,5.07,Male,No,Sun,Dinner,4,24.2433,4.106700000000001,3172.58,537.4200000000001,19.1552,3.2448
10.65,1.5,Female,No,Thur,Lunch,2,8.6265,1.215,1128.9,159,6.816000000000001,0.96
12.43,1.8,Female,No,Thur,Lunch,2,10.0683,1.4580000000000002,1317.58,190.8,7.9552,1.1520000000000001
24.08,2.92,Female,No,Thur,Lunch,4,19.5048,2.3652,2552.48,309.52,15.4112,1.8688
11.69,2.31,Male,No,Thur,Lunch,2,9.4689,1.8711000000000002,1239.1399999999999,244.86,7.4816,1.4784000000000002
13.42,1.68,Female,No,Thur,Lunch,2,10.8702,1.3608,1422.52,178.07999999999998,8.5888,1.0752
14.26,2.5,Male,No,Thur,Lunch,2,11.550600000000001,2.0250000000000004,1511.56,265,9.1264,1.6
15.95,2,Male,No,Thur,Lunch,2,12.919500000000001,1.62,1690.6999999999998,212,10.208,1.28
12.48,2.52,Female,No,Thur,Lunch,2,10.1088,2.0412000000000003,1322.88,267.12,7.9872000000000005,1.6128
29.8,4.2,Female,No,Thur,Lunch,6,24.138,3.4020000000000006,3158.8,445.20000000000005,19.072,2.688
8.52,1.48,Male,No,Thur,Lunch,2,6.9012,1.1988,903.12,156.88,5.4528,0.9472
14.52,2,Female,No,Thur,Lunch,2,11.7612,1.62,1539.12,212,9.2928,1.28
11.38,2,Female,No,Thur,Lunch,2,9.2178,1.62,1206.28,212,7.283200000000001,1.28
22.82,2.18,Male,No,Thur,Lunch,3,18.4842,1.7658000000000003,2418.92,231.08,14.604800000000001,1.3952000000000002
19.08,1.5,Male,No,Thur,Lunch,2,15.454799999999999,1.215,2022.4799999999998,159,12.2112,0.96
20.27,2.83,Female,No,Thur,Lunch,2,16.4187,2.2923,2148.62,299.98,12.9728,1.8112000000000001
11.17,1.5,Female,No,Thur,Lunch,2,9.0477,1.215,1184.02,159,7.1488000000000005,0.96
12.26,2,Female,No,Thur,Lunch,2,9.9306,1.62,1299.56,212,7.8464,1.28
18.26,3.25,Female,No,Thur,Lunch,2,14.790600000000003,2.6325000000000003,1935.5600000000002,344.5,11.6864,2.08
8.51,1.25,Female,No,Thur,Lunch,2,6.8931000000000004,1.0125000000000002,902.06,132.5,5.4464,0.8
10.33,2,Female,No,Thur,Lunch,2,8.3673,1.62,1094.98,212,6.6112,1.28
14.15,2,Female,No,Thur,Lunch,2,11.461500000000001,1.62,1499.9,212,9.056000000000001,1.28
16,2,Male,Yes,Thur,Lunch,2,12.96,1.62,1696,212,10.24,1.28
13.16,2.75,Female,No,Thur,Lunch,2,10.659600000000001,2.2275,1394.96,291.5,8.4224,1.76
17.47,3.5,Female,No,Thur,Lunch,2,14.1507,2.835,1851.82,371,11.1808,2.24
34.3,6.7,Male,No,Thur,Lunch,6,27.783,5.4270000000000005,3635.7999999999997,710.2,21.951999999999998,4.288
41.19,5,Male,No,Thur,Lunch,5,33.3639,4.050000000000001,4366.139999999999,530,26.3616,3.2
27.05,5,Female,No,Thur,Lunch,6,21.910500000000003,4.050000000000001,2867.3,530,17.312,3.2
16.43,2.3,Female,No,Thur,Lunch,2,13.308300000000001,1.863,1741.58,243.79999999999998,10.5152,1.472
8.35,1.5,Female,No,Thur,Lunch,2,6.7635000000000005,1.215,885.0999999999999,159,5.344,0.96
18.64,1.36,Female,No,Thur,Lunch,3,15.098400000000002,1.1016000000000001,1975.8400000000001,144.16,11.9296,0.8704000000000001
11.87,1.63,Female,No,Thur,Lunch,2,9.6147,1.3203,1258.22,172.78,7.5968,1.0432
9.78,1.73,Male,No,Thur,Lunch,2,7.9218,1.4013,1036.6799999999998,183.38,6.2592,1.1072
7.51,2,Male,No,Thur,Lunch,2,6.0831,1.62,796.06,212,4.8064,1.28
14.07,2.5,Male,No,Sun,Dinner,2,11.396700000000001,2.0250000000000004,1491.42,265,9.004800000000001,1.6
13.13,2,Male,No,Sun,Dinner,2,10.6353,1.62,1391.78,212,8.4032,1.28
17.26,2.74,Male,No,Sun,Dinner,3,13.980600000000003,2.2194000000000003,1829.5600000000002,290.44,11.046400000000002,1.7536000000000003
24.55,2,Male,No,Sun,Dinner,4,19.8855,1.62,2602.3,212,15.712000000000002,1.28
19.77,2,Male,No,Sun,Dinner,4,16.0137,1.62,2095.62,212,12.6528,1.28
29.85,5.14,Female,No,Sun,Dinner,5,24.178500000000003,4.1634,3164.1000000000004,544.8399999999999,19.104000000000003,3.2896
48.17,5,Male,No,Sun,Dinner,6,39.017700000000005,4.050000000000001,5106.02,530,30.8288,3.2
25,3.75,Female,No,Sun,Dinner,4,20.25,3.0375,2650,397.5,16,2.4
13.39,2.61,Female,No,Sun,Dinner,2,10.8459,2.1141,1419.3400000000001,276.65999999999997,8.569600000000001,1.6703999999999999
16.49,2,Male,No,Sun,Dinner,4,13.3569,1.62,1747.9399999999998,212,10.5536,1.28
21.5,3.5,Male,No,Sun,Dinner,4,17.415000000000003,2.835,2279,371,13.76,2.24
12.66,2.5,Male,No,Sun,Dinner,2,10.2546,2.0250000000000004,1341.96,265,8.1024,1.6
16.21,2,Female,No,Sun,Dinner,3,13.130100000000002,1.62,1718.26,212,10.374400000000001,1.28
13.81,2,Male,No,Sun,Dinner,2,11.186100000000001,1.62,1463.8600000000001,212,8.8384,1.28
17.51,3,Female,Yes,Sun,Dinner,2,14.183100000000001,2.43,1856.0600000000002,318,11.2064,1.92
24.52,3.48,Male,No,Sun,Dinner,3,19.8612,2.8188,2599.12,368.88,15.6928,2.2272
20.76,2.24,Male,No,Sun,Dinner,2,16.815600000000003,1.8144000000000002,2200.56,237.44000000000003,13.2864,1.4336000000000002
31.71,4.5,Male,No,Sun,Dinner,4,25.685100000000002,3.6450000000000005,3361.26,477,20.2944,2.88
10.59,1.61,Female,Yes,Sat,Dinner,2,8.5779,1.3041000000000003,1122.54,170.66,6.7776,1.0304
10.63,2,Female,Yes,Sat,Dinner,2,8.6103,1.62,1126.78,212,6.8032,1.28
50.81,10,Male,Yes,Sat,Dinner,3,41.1561,8.100000000000001,5385.860000000001,1060,32.5184,6.4
15.81,3.16,Male,Yes,Sat,Dinner,2,12.8061,2.5596,1675.8600000000001,334.96000000000004,10.118400000000001,2.0224
7.25,5.15,Male,Yes,Sun,Dinner,2,5.8725000000000005,4.171500000000001,768.5,545.9000000000001,4.64,3.2960000000000003
31.85,3.18,Male,Yes,Sun,Dinner,2,25.798500000000004,2.5758,3376.1000000000004,337.08000000000004,20.384,2.0352
16.82,4,Male,Yes,Sun,Dinner,2,13.624200000000002,3.24,1782.92,424,10.764800000000001,2.56
32.9,3.11,Male,Yes,Sun,Dinner,2,26.649,2.5191,3487.3999999999996,329.65999999999997,21.056,1.9904
17.89,2,Male,Yes,Sun,Dinner,2,14.490900000000002,1.62,1896.3400000000001,212,11.4496,1.28
14.48,2,Male,Yes,Sun,Dinner,2,11.728800000000001,1.62,1534.88,212,9.2672,1.28
9.6,4,Female,Yes,Sun,Dinner,2,7.776,3.24,1017.5999999999999,424,6.144,2.56
34.63,3.55,Male,Yes,Sun,Dinner,2,28.050300000000004,2.8755,3670.78,376.29999999999995,22.163200000000003,2.272
34.65,3.68,Male,Yes,Sun,Dinner,4,28.0665,2.9808000000000003,3672.8999999999996,390.08000000000004,22.176,2.3552
23.33,5.65,Male,Yes,Sun,Dinner,2,18.8973,4.5765,2472.98,598.9000000000001,14.931199999999999,3.616
45.35,3.5,Male,Yes,Sun,Dinner,3,36.73350000000001,2.835,4807.1,371,29.024,2.24
23.17,6.5,Male,Yes,Sun,Dinner,4,18.7677,5.265000000000001,2456.02,689,14.828800000000001,4.16
40.55,3,Male,Yes,Sun,Dinner,2,32.8455,2.43,4298.299999999999,318,25.951999999999998,1.92
20.69,5,Male,No,Sun,Dinner,5,16.7589,4.050000000000001,2193.1400000000003,530,13.241600000000002,3.2
20.9,3.5,Female,Yes,Sun,Dinner,3,16.929,2.835,2215.3999999999996,371,13.376,2.24
30.46,2,Male,Yes,Sun,Dinner,5,24.672600000000003,1.62,3228.76,212,19.494400000000002,1.28
18.15,3.5,Female,Yes,Sun,Dinner,3,14.7015,2.835,1923.8999999999999,371,11.616,2.24
23.1,4,Male,Yes,Sun,Dinner,3,18.711000000000002,3.24,2448.6000000000004,424,14.784,2.56
15.69,1.5,Male,Yes,Sun,Dinner,2,12.7089,1.215,1663.1399999999999,159,10.0416,0.96
19.81,4.19,Female,Yes,Thur,Lunch,2,16.0461,3.3939000000000004,2099.8599999999997,444.14000000000004,12.6784,2.6816000000000004
28.44,2.56,Male,Yes,Thur,Lunch,2,23.036400000000004,2.0736000000000003,3014.6400000000003,271.36,18.201600000000003,1.6384
15.48,2.02,Male,Yes,Thur,Lunch,2,12.538800000000002,1.6362,1640.88,214.12,9.907200000000001,1.2928
16.58,4,Male,Yes,Thur,Lunch,2,13.4298,3.24,1757.4799999999998,424,10.611199999999998,2.56
7.56,1.44,Male,No,Thur,Lunch,2,6.1236,1.1664,801.36,152.64,4.8384,0.9216
10.34,2,Male,Yes,Thur,Lunch,2,8.3754,1.62,1096.04,212,6.6176,1.28
43.11,5,Female,Yes,Thur,Lunch,4,34.9191,4.050000000000001,4569.66,530,27.5904,3.2
13,2,Female,Yes,Thur,Lunch,2,10.530000000000001,1.62,1378,212,8.32,1.28
13.51,2,Male,Yes,Thur,Lunch,2,10.943100000000001,1.62,1432.06,212,8.6464,1.28
18.71,4,Male,Yes,Thur,Lunch,3,15.155100000000001,3.24,1983.26,424,11.974400000000001,2.56
12.74,2.01,Female,Yes,Thur,Lunch,2,10.319400000000002,1.6280999999999999,1350.44,213.05999999999997,8.1536,1.2864
13,2,Female,Yes,Thur,Lunch,2,10.530000000000001,1.62,1378,212,8.32,1.28
16.4,2.5,Female,Yes,Thur,Lunch,2,13.283999999999999,2.0250000000000004,1738.3999999999999,265,10.495999999999999,1.6
20.53,4,Male,Yes,Thur,Lunch,4,16.6293,3.24,2176.1800000000003,424,13.1392,2.56
16.47,3.23,Female,Yes,Thur,Lunch,3,13.3407,2.6163000000000003,1745.82,342.38,10.540799999999999,2.0672
26.59,3.41,Male,Yes,Sat,Dinner,3,21.5379,2.7621000000000002,2818.54,361.46000000000004,17.0176,2.1824000000000003
38.73,3,Male,Yes,Sat,Dinner,4,31.371299999999998,2.43,4105.38,318,24.7872,1.92
24.27,2.03,Male,Yes,Sat,Dinner,2,19.6587,1.6442999999999999,2572.62,215.17999999999998,15.5328,1.2992
12.76,2.23,Female,Yes,Sat,Dinner,2,10.335600000000001,1.8063,1352.56,236.38,8.1664,1.4272
30.06,2,Male,Yes,Sat,Dinner,3,24.3486,1.62,3186.3599999999997,212,19.2384,1.28
25.89,5.16,Male,Yes,Sat,Dinner,4,20.9709,4.179600000000001,2744.34,546.96,16.5696,3.3024
48.33,9,Male,No,Sat,Dinner,4,39.1473,7.290000000000001,5122.98,954,30.9312,5.76
13.27,2.5,Female,Yes,Sat,Dinner,2,10.7487,2.0250000000000004,1406.62,265,8.492799999999999,1.6
28.17,6.5,Female,Yes,Sat,Dinner,3,22.817700000000002,5.265000000000001,2986.02,689,18.0288,4.16
12.9,1.1,Female,Yes,Sat,Dinner,2,10.449000000000002,0.8910000000000001,1367.4,116.60000000000001,8.256,0.7040000000000001
28.15,3,Male,Yes,Sat,Dinner,5,22.8015,2.43,2983.8999999999996,318,18.016,1.92
11.59,1.5,Male,Yes,Sat,Dinner,2,9.3879,1.215,1228.54,159,7.4176,0.96
7.74,1.44,Male,Yes,Sat,Dinner,2,6.269400000000001,1.1664,820.44,152.64,4.953600000000001,0.9216
30.14,3.09,Female,Yes,Sat,Dinner,4,24.413400000000003,2.5029,3194.84,327.53999999999996,19.2896,1.9776
12.16,2.2,Male,Yes,Fri,Lunch,2,9.8496,1.7820000000000003,1288.96,233.20000000000002,7.7824,1.4080000000000001
13.42,3.48,Female,Yes,Fri,Lunch,2,10.8702,2.8188,1422.52,368.88,8.5888,2.2272
8.58,1.92,Male,Yes,Fri,Lunch,1,6.949800000000001,1.5552000000000001,909.48,203.51999999999998,5.4912,1.2288
15.98,3,Female,No,Fri,Lunch,3,12.943800000000001,2.43,1693.88,318,10.2272,1.92
13.42,1.58,Male,Yes,Fri,Lunch,2,10.8702,1.2798,1422.52,167.48000000000002,8.5888,1.0112
16.27,2.5,Female,Yes,Fri,Lunch,2,13.178700000000001,2.0250000000000004,1724.62,265,10.4128,1.6
10.09,2,Female,Yes,Fri,Lunch,2,8.1729,1.62,1069.54,212,6.4576,1.28
20.45,3,Male,No,Sat,Dinner,4,16.5645,2.43,2167.7,318,13.088,1.92
13.28,2.72,Male,No,Sat,Dinner,2,10.7568,2.2032000000000003,1407.6799999999998,288.32,8.4992,1.7408000000000001
22.12,2.88,Female,Yes,Sat,Dinner,2,17.9172,2.3328,2344.7200000000003,305.28,14.1568,1.8432
24.01,2,Male,Yes,Sat,Dinner,4,19.448100000000004,1.62,2545.06,212,15.3664,1.28
15.69,3,Male,Yes,Sat,Dinner,3,12.7089,2.43,1663.1399999999999,318,10.0416,1.92
11.61,3.39,Male,No,Sat,Dinner,2,9.4041,2.7459000000000002,1230.6599999999999,359.34000000000003,7.4304,2.1696
10.77,1.47,Male,No,Sat,Dinner,2,8.723700000000001,1.1907,1141.62,155.82,6.8928,0.9408
15.53,3,Male,Yes,Sat,Dinner,2,12.5793,2.43,1646.1799999999998,318,9.9392,1.92
10.07,1.25,Male,No,Sat,Dinner,2,8.1567,1.0125000000000002,1067.42,132.5,6.444800000000001,0.8
12.6,1,Male,Yes,Sat,Dinner,2,10.206,0.81,1335.6,106,8.064,0.64
32.83,1.17,Male,Yes,Sat,Dinner,2,26.5923,0.9477,3479.98,124.02,21.0112,0.7488
35.83,4.67,Female,No,Sat,Dinner,3,29.0223,3.7827,3797.98,495.02,22.9312,2.9888
29.03,5.92,Male,No,Sat,Dinner,3,23.514300000000002,4.7952,3077.1800000000003,627.52,18.5792,3.7888
27.18,2,Female,Yes,Sat,Dinner,2,22.015800000000002,1.62,2881.08,212,17.3952,1.28
22.67,2,Male,Yes,Sat,Dinner,2,18.362700000000004,1.62,2403.02,212,14.5088,1.28
17.82,1.75,Male,No,Sat,Dinner,2,14.4342,1.4175,1888.92,185.5,11.4048,1.12
18.78,3,Female,No,Thur,Dinner,2,15.211800000000002,2.43,1990.68,318,12.019200000000001,1.92
